state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
CO,Chaffee,4.12,0.5,0.31,0.19,0.3070236024901947
CO,Cheyenne,0.97,0.19,0.15,0.12,0.14779772475815087
CO,Clear Creek,3.06,0.38,0.21,0.17,0.2276265462099118
CO,Conejos,2.05,0.31,0.21,0.17,0.21559516679335738
CO,Costilla,2.05,0.31,0.21,0.17,0.21559516679335738
CO,Crowley,3.06,0.38,0.21,0.15,0.22044765009154502
CO,Custer,4.12,0.5,0.31,0.19,0.3070236024901947
CO,Delta,0.97,0.2,0.17,0.15,0.17053379587957523
CO,Denver,3.06,0.38,0.21,0.15,0.22044765009154502
CO,Dolores,1.04,0.24,0.21,0.16,0.19997433931761954
CO,Douglas,3.06,0.38,0.21,0.17,0.2276265462099118
CO,Eagle,2.15,0.3,0.19,0.15,0.19714483578309816
CO,El Paso,2.01,0.29,0.21,0.15,0.2067095167994725
CO,Elbert,3.06,0.38,0.21,0.17,0.2276265462099118
CO,Fremont,4.12,0.5,0.31,0.19,0.3070236024901947
CO,Garfield,0.91,0.2,0.18,0.15,0.1757428248566419
CO,Gilpin,3.06,0.38,0.21,0.15,0.22044765009154502
CO,Grand,1.72,0.26,0.2,0.15,0.19692111005838164
CO,Gunnison,1.0,0.21,0.18,0.15,0.17708360623078817
CO,Hinsdale,1.03,0.23,0.2,0.17,0.19715323543598634
CO,Huerfano,3.06,0.38,0.21,0.15,0.22044765009154502
CO,Jackson,1.72,0.26,0.2,0.16,0.20051055811756502
CO,Jefferson,3.06,0.38,0.21,0.17,0.2276265462099118
CO,Kiowa,1.02,0.2,0.17,0.15,0.1708819419055661
CO,Kit Carson,1.02,0.2,0.17,0.15,0.1708819419055661
CO,La Plata,2.02,0.29,0.19,0.15,0.1955255375881592
CO,Lake,4.12,0.5,0.31,0.19,0.3070236024901947
CO,Larimer,1.35,0.26,0.21,0.16,0.20356108173348833
CO,Las Animas,2.02,0.29,0.19,0.15,0.1955255375881592
CO,Lincoln,1.02,0.2,0.17,0.15,0.1708819419055661
CO,Logan,1.01,0.21,0.18,0.15,0.17715323543598632
CO,Mesa,2.05,0.31,0.21,0.15,0.2084162706749906
CO,Mineral,1.04,0.23,0.2,0.15,0.19004396852281774
CO,Moffat,1.07,0.21,0.17,0.15,0.17194420645891967
CO,Montezuma,2.02,0.3,0.2,0.16,0.20545590838296102
CO,Montrose,1.04,0.24,0.21,0.15,0.19638489125843617
CO,Morgan,1.02,0.21,0.17,0.15,0.1715960604329288
CO,Otero,1.99,0.29,0.19,0.15,0.19531664997256468
CO,Ouray,1.04,0.24,0.21,0.15,0.19638489125843617
CO,Park,3.06,0.38,0.21,0.17,0.2276265462099118
CO,Phillips,0.96,0.19,0.16,0.14,0.16053379587957523
CO,Pitkin,2.64,0.35,0.24,0.15,0.23226128051590086
CO,Prowers,1.01,0.24,0.21,0.18,0.20694434782039184
CO,Pueblo,3.06,0.38,0.21,0.15,0.22044765009154502
CO,Rio Blanco,1.07,0.21,0.17,0.15,0.17194420645891967
CO,Rio Grande,1.04,0.23,0.2,0.15,0.19004396852281774
CO,Routt,1.48,0.24,0.19,0.15,0.18819496787064435
CO,Saguache,1.04,0.23,0.2,0.18,0.20081231270036792
CO,San Juan,1.01,0.22,0.19,0.17,0.19067305428997156
CO,San Miguel,1.04,0.24,0.21,0.16,0.19997433931761954
CO,Sedgwick,2.45,0.3,0.22,0.15,0.2161141245638106
CO,Summit,2.39,0.32,0.21,0.16,0.21508723023827458
CO,Teller,2.01,0.29,0.21,0.15,0.2067095167994725
CO,Washington,1.68,0.27,0.21,0.15,0.20298351597320738
CO,Weld,1.02,0.21,0.19,0.15,0.18284966884944026
CO,Yuma,1.31,0.24,0.2,0.16,0.1962275236497145
CT,Fairfield,2.12,0.36,0.23,0.2,0.24167511646061973
CT,Hartford,3.14,0.36,0.2,0.16,0.21753909052933265
