entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Oconee Electric Member Corp,GA,10406,"140,821","17,659.60",12.54,13962
Okefenoke Rural El Member Corp,GA,24001,"321,807","40,841.90",12.69,31833
Planters Electric Member Corp,GA,15372,"213,615","27,457.00",12.85,14649
Rayle Electric Membership Corp,GA,15567,"186,863","26,370.00",14.11,15700
Satilla Rural Elec Member Corporation,GA,50490,"700,358","81,968.30",11.7,16674
Sawnee Electric Membership Corporation,GA,158090,"2,211,477","242,447.50",10.96,16865
Slash Pine Elec Member Corp,GA,8151,"105,158","12,994.60",12.36,17290
Snapping Shoals El Member Corp,GA,93868,"1,394,622","138,593.00",9.94,17832
Southern Rivers Energy,GA,18128,"258,483","32,787.00",12.68,10624
Sumter Electric Member Corp,GA,14758,"219,955","28,550.00",12.98,18305
Three Notch Elec Member Corp,GA,13820,"141,542","19,539.00",13.8,18499
Tri-County Elec Member Corp,GA,19353,"255,630","31,540.60",12.34,18956
Tri-State Electric Member Corp,GA,11754,"131,285","16,305.00",12.42,19154
Upson Elec Member Corp,GA,8321,"107,716","12,179.00",11.31,19581
Walton Electric Member Corp,GA,117550,"1,693,836","191,644.00",11.31,20065
Washington Elec Member Corp,GA,14740,"178,472","21,976.40",12.31,20146
Hawaii Electric Light Co Inc,HI,72494,"392,019","134,054.90",34.2,8287
Hawaiian Electric Co Inc,HI,271065,"1,578,773","445,453.40",28.22,19547
Kauai Island Utility Cooperative,HI,28766,"169,346","58,459.40",34.52,10071
Maui Electric Co Ltd,HI,60618,"363,692","112,348.50",30.89,11843
Access Energy Coop,IA,8658,"111,219","14,881.80",13.38,16611
"Allamakee-Clayton El Coop, Inc",IA,9454,"112,248","16,669.10",14.85,329
Amana Society Service Co,IA,703,"6,850",889,12.98,471
Atchison-Holt Electric Coop,IA,1019,"9,597","1,355.00",14.12,942
Atlantic Municipal Utilities,IA,3825,"39,357","3,385.20",8.6,965
Board of Water Electric & Communications,IA,9867,"98,536","11,180.40",11.35,13143
Butler County Rural Elec Coop - (IA),IA,4843,"91,469","12,277.70",13.42,2652
Calhoun County Elec Coop Assn,IA,1670,"29,195","4,174.00",14.3,4040
Cedar Falls Utilities,IA,17007,"162,582","15,826.00",9.73,3203
"Chariton Valley Elec Coop, Inc",IA,4842,"52,883","6,844.00",12.94,3314
City of Algona - (IA),IA,3035,"28,107","4,045.00",14.39,309
City of Ames - (IA),IA,23445,"164,873","19,848.10",12.04,554
City of Denison - (IA),IA,2727,"33,368","2,704.90",8.11,5056
City of Estherville - (IA),IA,2674,"19,367","2,598.00",13.41,5998
City of Forest City- (IA),IA,1784,"13,017","1,262.70",9.7,6579
City of Graettinger - (IA),IA,422,"4,847",458.8,9.47,7443
City of Greenfield - (IA),IA,1005,"8,999",948.5,10.54,7626
City of Hawarden - (IA),IA,1024,"11,553","1,046.00",9.05,8288
City of Hinton,IA,309,"4,292",419.4,9.77,8610
City of Independence - (IA),IA,2714,"19,761","2,928.40",14.82,9230
City of Lake Mills,IA,1070,"8,277",974.5,11.77,10606
