entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
PUD No 1 of Benton County,WA,45813,"760,746","63,129.00",8.3,1579
PUD No 1 of Chelan County,WA,37968,"880,539","27,943.90",3.17,3413
PUD No 1 of Clallam County,WA,28419,"455,667","43,115.80",9.46,3644
PUD No 1 of Clark County - (WA),WA,186105,"2,525,438","231,661.00",9.17,3660
PUD No 1 of Cowlitz County,WA,44238,"762,993","64,100.00",8.4,4442
PUD No 1 of Douglas County,WA,14441,"471,337","14,096.00",2.99,5326
PUD No 1 of Ferry County,WA,2974,"38,357","3,911.50",10.2,6297
PUD No 1 of Franklin County,WA,24407,"380,711","35,242.00",9.26,6716
PUD No 1 of Grays Harbor County,WA,36674,"501,901","57,507.40",11.46,7548
PUD No 1 of Jefferson County,WA,17202,"214,121","23,013.00",10.75,59013
PUD No 1 of Klickitat County,WA,10567,"155,807","17,249.00",11.07,10393
PUD No 1 of Lewis County,WA,26465,"463,420","36,251.80",7.82,10944
PUD No 1 of Okanogan County,WA,17148,"312,591","24,492.40",7.84,14055
PUD No 1 of Pend Oreille County,WA,8205,"153,606","10,577.00",6.89,14653
PUD No 1 of Skamania Co,WA,5447,"81,631","7,438.20",9.11,17279
PUD No 2 of Grant County,WA,37774,"837,342","45,270.00",5.41,14624
PUD No 2 of Pacific County,WA,15320,"191,870","15,694.60",8.18,14324
PUD No 3 of Mason County,WA,31156,"439,108","46,288.00",10.54,15419
PacifiCorp,WA,108880,"1,715,722","155,659.60",9.07,14354
Parkland Light & Water Company,WA,3795,"58,248","4,454.00",7.65,14505
Peninsula Light Company,WA,32598,"503,881","49,141.20",9.75,14668
Puget Sound Energy Inc,WA,998078,"10,931,999","1,232,074.70",11.27,15500
Tanner Electric Coop,WA,4518,"60,419","7,736.00",12.8,18448
Town of Steilacoom,WA,2824,"32,535","2,500.40",7.69,18051
Vera Irrigation District #15,WA,10453,"149,865","10,990.00",7.33,19784
Adams-Columbia Electric Coop,WI,34138,"260,879","42,976.00",16.47,108
Algoma Utility Comm,WI,1658,"10,921","1,393.60",12.76,307
Barron Electric Coop,WI,18106,"192,140","25,252.00",13.14,1251
"Bayfield Electric Coop, Inc",WI,8865,"68,319","12,287.00",17.98,1367
Brodhead Water & Lighting Comm,WI,1493,"12,106","1,519.20",12.55,2273
Cedarburg Light & Water Comm,WI,5343,"41,310","5,289.10",12.8,3208
Central Wisconsin Elec Coop,WI,7309,"59,105","10,974.60",18.57,3293
Chippewa Valley Electric Coop,WI,6968,"84,643","12,421.70",14.68,3498
City of Black River Falls,WI,2215,"18,087","2,350.20",12.99,1776
City of Boscobel - (WI),WI,1437,"11,318","1,231.70",10.88,1997
City of Clintonville - (WI),WI,2297,"16,988","1,910.00",11.24,3814
City of Columbus - (WI),WI,2402,"18,059","2,266.50",12.55,4073
City of Cuba City,WI,946,"6,949",847,12.19,4607
City of Eagle River - (WI),WI,971,"5,516",706,12.8,5551
City of Elkhorn - (WI),WI,4063,"30,238","3,404.00",11.26,5777
City of Evansville,WI,3260,"27,685","3,504.20",12.66,6043
City of Kaukauna,WI,13353,"115,709","13,560.80",11.72,10056
City of Lodi - (WI),WI,1446,"10,779","1,373.50",12.74,11125
City of Marshfield - (WI),WI,11464,"94,977","9,262.00",9.75,11740
City of Medford - (WI),WI,2658,"23,458","2,070.00",8.82,12265
City of Menasha - (WI),WI,8164,"57,887","7,213.30",12.46,12298
City of New Holstein - (WI),WI,2187,"18,353","2,329.60",12.69,13448
City of New Richmond,WI,3930,"33,113","3,789.00",11.44,13481
City of Plymouth - (WI),WI,7047,"59,581","7,194.20",12.07,15159
City of Richland Center - (WI),WI,2395,"15,885","1,865.40",11.74,15978
City of River Falls,WI,5712,"44,303","5,465.10",12.34,16082
City of Sheboygan Falls - (WI),WI,4077,"31,086","3,027.00",9.74,17028
City of Stoughton - (WI),WI,7724,"63,189","7,579.90",12.0,18181
City of Sturgeon Bay - (WI),WI,7212,"51,437","6,061.80",11.78,18249
City of Westby,WI,994,"8,629",958.7,11.11,20434
Clark Electric Coop - (WI),WI,9038,"132,208","17,565.60",13.29,3701
Consolidated Water Power Co,WI,86,673,60.7,9.02,4247
Dahlberg Light & Power Co,WI,10373,"64,978","8,688.00",13.37,4715
Dunn County Electric Coop,WI,9226,"134,609","17,466.00",12.98,5417
East Central Energy,WI,4861,"43,853","6,602.00",15.05,5574
Eau Claire Electric Coop,WI,10339,"131,145","18,706.00",14.26,5632
Florence Utility Comm,WI,1314,"7,001","1,026.60",14.66,6424
Hartford Electric,WI,6534,"47,038","5,560.40",11.82,8212
Hustisford Utilities,WI,1343,"11,288","1,517.20",13.44,9124
"Jackson Electric Coop, Inc - (WI)",WI,7462,"87,163","11,768.80",13.5,8574
Jefferson Utilities,WI,3536,"28,812","3,395.80",11.79,9690
Jump River Electric Coop Inc,WI,8822,"76,431","11,636.00",15.22,9922
Juneau Utility Comm,WI,942,"7,297",820.5,11.24,9936
Lake Mills Light & Water,WI,3724,"26,394","3,681.50",13.95,10605
Madison Gas & Electric Co,WI,132091,"793,336","136,168.00",17.16,11479
Manitowoc Public Utilities,WI,15762,"100,685","11,205.80",11.13,11571
New London Electric&Water Util,WI,3329,"24,863","3,021.40",12.15,13467
North Central Power Co Inc,WI,4629,"23,084","3,301.10",14.3,13697
Northern States Power Co - Wisconsin,WI,209168,"1,797,370","247,130.80",13.75,13780
Northwestern Wisconsin Elec Co,WI,10152,"76,684","10,670.00",13.91,13815
Oakdale Electric Coop,WI,15208,"141,581","20,345.00",14.37,13936
Oconomowoc Utilities,WI,8435,"71,388","8,893.70",12.46,13963
Oconto Electric Cooperative,WI,9340,"88,561","13,068.40",14.76,13964
Oconto Falls Water & Light Comm,WI,1347,"8,331","1,296.30",15.56,13965
Pierce-Pepin Coop Services,WI,7163,"100,464","14,925.40",14.86,15034
Pioneer Power and Light Co,WI,1997,"10,632","1,774.00",16.69,15086
Polk-Burnett Electric Coop,WI,18900,"173,266","25,863.00",14.93,15344
Price Electric Coop Inc,WI,8825,"54,097","10,928.70",20.2,15356
Reedsburg Utility Comm,WI,4286,"35,730","4,409.90",12.34,15804
Rice Lake Utilities,WI,4662,"40,686","3,791.00",9.32,15938
Riverland Energy Cooperative,WI,16658,"218,333","30,695.90",14.06,16060
Rock Energy Cooperative,WI,6835,"77,942","10,169.00",13.05,16196
Scenic Rivers Energy Coop,WI,13207,"182,822","24,412.00",13.35,16740
Shawano Municipal Utilities,WI,4227,"30,867","3,365.00",10.9,17011
Slinger Utilities,WI,1998,"15,929","2,027.30",12.73,17324
St Croix Electric Coop,WI,9980,"140,665","17,464.00",12.42,17868
Sun Prairie Utilities,WI,13728,"100,806","11,578.90",11.49,18312
"Superior Water, Light and Power Co",WI,12626,"85,353","10,239.00",12.0,18336
Taylor Electric Coop - (WI),WI,4134,"55,942","8,001.70",14.3,18383
Two Rivers Water & Light,WI,5570,"32,701","4,092.00",12.51,19324
Vernon Electric Coop,WI,10622,"119,440","17,279.00",14.47,19813
Village of Bangor - (WI),WI,1305,"11,540","1,505.70",13.05,1181
Village of Mt. Horeb - (WI),WI,3289,"26,550","3,148.20",11.86,13036
Village of Muscoda - (WI),WI,869,"6,616",764.6,11.56,13145
Village of New Glarus - (WI),WI,1160,"7,601",977.4,12.86,13438
Village of Prairie Du Sac - (WI),WI,1861,"14,171","1,703.20",12.02,15312
Village of Waunakee - (WI),WI,5375,"48,451","5,737.50",11.84,20211
Waterloo Light & Water Comm,WI,1541,"12,433","1,474.60",11.86,20182
Waupun Utilities,WI,3733,"29,356","3,527.30",12.02,20213
Westfield Electric Co,WI,588,"4,072",666,16.36,40036
Whitehall Electric Utility,WI,782,"6,332",794.1,12.54,20583
Wisconsin Electric Power Co,WI,1005530,"7,648,452","1,178,375.10",15.41,20847
Wisconsin Power & Light Co,WI,410620,"3,396,196","470,625.00",13.86,20856
Wisconsin Public Service Corp,WI,388063,"2,761,396","369,464.30",13.38,20860
Wisconsin Rapids W W & L Comm,WI,12170,"93,465","10,354.00",11.08,20862
Appalachian Power Co,WV,357387,"4,855,573","574,030.00",11.82,733
Black Diamond Power Co,WV,3457,"34,680","4,276.60",12.33,1764
Craig-Botetourt Electric Coop,WV,429,"2,335",397.4,17.02,4471
Monongahela Power Co,WV,332345,"3,469,690","403,233.00",11.62,12796
The Potomac Edison Co,WV,121512,"1,740,862","187,488.10",10.77,15263
Wheeling Power Co,WV,34918,"388,827","47,122.00",12.12,20521
"Beartooth Electric Coop, Inc",WY,399,"4,646",595.1,12.81,1417
"Big Horn County Elec Coop, Inc",WY,270,"3,574",416,11.64,1683
Big Horn Rural Electric Co,WY,2975,"29,059","4,338.00",14.93,1675
"Black Hills Power, Inc. d/b/a",WY,2031,"19,195","2,440.60",12.71,19545
"Bridger Valley Elec Assn, Inc",WY,3621,"38,302","4,182.80",10.92,2215
"Carbon Power & Light, Inc",WY,4988,"38,387","5,996.50",15.62,2998
Cheyenne Light Fuel & Power Co,WY,37154,"256,629","39,880.00",15.54,3461
City of Cody,WY,6140,"35,791","4,642.80",12.97,3881
City of Gillette - (WY),WY,13118,"131,418","14,960.00",11.38,7222
City of Torrington - (WY),WY,3163,"26,912","2,741.00",10.19,19032
Fall River Rural Elec Coop Inc,WY,279,"5,320",531,9.98,6169
Garland Light & Power Company,WY,1900,"21,307","3,263.00",15.31,6950
High Plains Power Inc,WY,11790,"147,298","19,849.80",13.48,8566
"High West Energy, Inc",WY,4809,"55,187","7,907.00",14.33,27058
Lower Valley Energy Inc,WY,19733,"434,086","27,403.70",6.31,11273
Montana-Dakota Utilities Co,WY,13351,"137,247","15,300.00",11.15,12199
NorthWestern Energy LLC - (MT),WY,181,"1,497",177.7,11.87,12825
PacifiCorp,WY,114727,"1,041,319","118,130.20",11.34,14354
Powder River Energy Corporation,WY,14966,"204,038","22,347.20",10.95,19156
Wyrulec Company,WY,3049,"29,003","4,471.20",15.42,21079
Yampa Valley Electric Assn Inc,WY,573,"5,698",664.7,11.67,21081
